date,PRCP,TMAX,TMIN,SNOW
2014-01-01T00:00:00,0.5,-4.3,-9.9,
2014-01-02T00:00:00,0.3,-5.5,-14.9,
2014-01-03T00:00:00,0.0,-6.6,-18.8,
2014-01-04T00:00:00,5.1,0.6,-6.6,
2014-01-05T00:00:00,0.8,-0.5,-18.2,
2014-01-06T00:00:00,0.0,-18.2,-26.0,
2014-01-07T00:00:00,0.0,-14.9,-23.8,
2014-01-08T00:00:00,0.0,-9.3,-18.8,
2014-01-09T00:00:00,0.0,-1.6,-16.6,
2014-01-10T00:00:00,21.8,5.6,-1.6,
2014-01-11T00:00:00,1.8,5.0,-0.5,
2014-01-12T00:00:00,0.0,6.7,-1.6,
2014-01-13T00:00:00,0.0,8.3,-2.1,
2014-01-14T00:00:00,0.0,1.7,-5.5,
2014-01-15T00:00:00,0.0,-5.5,-8.8,
2014-01-16T00:00:00,0.0,1.7,-6.6,
2014-01-17T00:00:00,0.0,-6.0,-10.5,
2014-01-18T00:00:00,1.0,-6.0,-11.6,
2014-01-19T00:00:00,0.0,3.9,-11.6,
2014-01-20T00:00:00,0.0,2.8,-6.6,
2014-01-21T00:00:00,0.0,-6.6,-17.1,
2014-01-22T00:00:00,0.0,-9.3,-17.1,
2014-01-23T00:00:00,0.0,-11.6,-19.3,
2014-01-24T00:00:00,0.0,-2.1,-21.0,
2014-01-25T00:00:00,0.3,0.6,-13.8,
2014-01-26T00:00:00,2.5,0.0,-14.3,
2014-01-27T00:00:00,0.0,-14.3,-21.6,
2014-01-28T00:00:00,0.0,-15.5,-23.8,
2014-01-29T00:00:00,0.0,-5.5,-17.1,
2014-01-30T00:00:00,0.0,0.6,-7.1,
2014-01-31T00:00:00,0.5,-2.1,-7.1,
2014-02-01T00:00:00,5.1,0.0,-4.9,
2014-02-02T00:00:00,0.0,-4.9,-13.8,
2014-02-03T00:00:00,0.0,-5.5,-17.1,
2014-02-04T00:00:00,0.3,-3.8,-12.1,
2014-02-05T00:00:00,1.0,-3.8,-12.7,
2014-02-06T00:00:00,0.0,-11.0,-18.2,
2014-02-07T00:00:00,0.0,-11.6,-19.3,
2014-02-08T00:00:00,1.8,-8.2,-14.3,
2014-02-09T00:00:00,0.0,-6.6,-13.8,
2014-02-10T00:00:00,0.0,-10.5,-18.8,
2014-02-11T00:00:00,0.0,-9.3,-19.9,
2014-02-12T00:00:00,0.0,-4.9,-16.6,
2014-02-13T00:00:00,0.0,1.1,-9.3,
2014-02-14T00:00:00,0.0,-5.5,-10.5,
2014-02-15T00:00:00,0.3,-4.3,-14.3,
2014-02-16T00:00:00,0.0,-2.1,-7.7,
2014-02-17T00:00:00,9.7,-1.6,-5.5,
2014-02-18T00:00:00,0.0,7.2,-4.9,
2014-02-19T00:00:00,0.0,7.2,0.0,
2014-02-20T00:00:00,19.6,10.6,1.7,
2014-02-21T00:00:00,0.0,2.8,-2.1,
2014-02-22T00:00:00,0.0,1.7,-4.9,
2014-02-23T00:00:00,0.0,-1.6,-8.8,
2014-02-24T00:00:00,0.0,-3.8,-10.5,
2014-02-25T00:00:00,0.0,-4.3,-13.8,
2014-02-26T00:00:00,,-7.1,-13.2,
2014-02-27T00:00:00,0.0,-7.1,-14.3,
2014-02-28T00:00:00,0.0,0.0,-14.3,
2014-03-01T00:00:00,1.3,0.0,-11.0,
2014-03-02T00:00:00,0.3,-8.8,-14.9,
2014-03-03T00:00:00,0.0,-6.6,-17.1,
2014-03-04T00:00:00,0.0,-2.7,-11.0,
2014-03-05T00:00:00,0.5,-4.3,-6.6,
2014-03-06T00:00:00,0.0,0.0,-8.8,
2014-03-07T00:00:00,0.0,7.8,-6.6,
2014-03-08T00:00:00,0.3,3.9,-4.9,
2014-03-09T00:00:00,0.0,5.6,-6.0,
2014-03-10T00:00:00,0.0,12.2,5.0,
2014-03-11T00:00:00,9.4,10.6,0.6,
2014-03-12T00:00:00,3.3,1.1,-7.7,
2014-03-13T00:00:00,0.0,3.9,-9.9,
2014-03-14T00:00:00,0.0,12.2,3.3,
2014-03-15T00:00:00,0.0,4.4,-2.1,
2014-03-16T00:00:00,0.0,-1.6,-7.1,
2014-03-17T00:00:00,0.0,3.9,-6.6,
2014-03-18T00:00:00,0.0,10.6,-1.0,
2014-03-19T00:00:00,9.9,8.3,1.7,
2014-03-20T00:00:00,0.0,8.9,-0.5,
2014-03-21T00:00:00,0.0,14.4,0.6,
2014-03-22T00:00:00,0.0,5.6,-1.6,
2014-03-23T00:00:00,0.0,-1.0,-6.0,
2014-03-24T00:00:00,0.0,2.8,-6.6,
2014-03-25T00:00:00,0.0,-0.5,-6.0,
2014-03-26T00:00:00,0.0,3.9,-8.2,
2014-03-27T00:00:00,3.0,12.2,1.7,
2014-03-28T00:00:00,1.0,12.8,1.1,
2014-03-29T00:00:00,0.0,5.0,-2.1,
2014-03-30T00:00:00,0.0,13.9,-3.8,
2014-03-31T00:00:00,0.8,20.0,6.7,
2014-04-01T00:00:00,0.0,13.9,1.1,
2014-04-02T00:00:00,0.0,7.2,2.2,
2014-04-03T00:00:00,27.4,5.6,2.8,
2014-04-04T00:00:00,0.3,7.8,1.7,
2014-04-05T00:00:00,0.0,9.4,0.6,
2014-04-06T00:00:00,0.0,13.3,2.2,
2014-04-07T00:00:00,0.0,12.8,2.8,
2014-04-08T00:00:00,0.5,13.9,4.4,
2014-04-09T00:00:00,0.0,17.2,2.2,
2014-04-10T00:00:00,0.0,17.8,6.7,
2014-04-11T00:00:00,0.0,21.1,5.0,
2014-04-12T00:00:00,0.0,26.7,11.1,
2014-04-13T00:00:00,11.4,22.2,7.8,
2014-04-14T00:00:00,4.1,17.8,-0.5,
2014-04-15T00:00:00,0.0,3.3,-2.7,
2014-04-16T00:00:00,0.0,11.1,-0.5,
2014-04-17T00:00:00,0.0,17.2,6.1,
2014-04-18T00:00:00,0.0,10.6,3.9,
2014-04-19T00:00:00,0.0,17.8,3.3,
2014-04-20T00:00:00,0.0,25.6,8.3,
2014-04-21T00:00:00,13.0,25.6,15.0,
2014-04-22T00:00:00,0.0,15.6,4.4,
2014-04-23T00:00:00,0.5,10.6,2.8,
2014-04-24T00:00:00,0.3,17.8,5.0,
2014-04-25T00:00:00,6.1,20.6,8.3,
2014-04-26T00:00:00,0.3,15.6,4.4,
2014-04-27T00:00:00,0.8,16.1,5.6,
2014-04-28T00:00:00,12.2,14.4,8.3,
2014-04-29T00:00:00,2.8,19.4,10.0,
2014-04-30T00:00:00,3.0,11.7,7.8,
2014-05-01T00:00:00,2.3,10.0,6.1,
2014-05-02T00:00:00,1.0,26.7,8.3,
2014-05-03T00:00:00,0.0,20.0,9.4,
2014-05-04T00:00:00,0.0,16.1,8.3,
2014-05-05T00:00:00,0.3,15.0,7.2,
2014-05-06T00:00:00,0.0,17.2,7.2,
2014-05-07T00:00:00,0.0,26.7,11.1,
2014-05-08T00:00:00,0.0,33.9,20.0,
2014-05-09T00:00:00,36.3,24.4,13.9,
2014-05-10T00:00:00,0.0,25.0,11.1,
2014-05-11T00:00:00,10.4,29.4,17.2,
2014-05-12T00:00:00,0.8,30.0,18.3,
2014-05-13T00:00:00,3.6,21.1,12.2,
2014-05-14T00:00:00,1.5,13.9,6.7,
2014-05-15T00:00:00,6.6,13.9,5.6,
2014-05-16T00:00:00,2.0,7.2,5.0,
2014-05-17T00:00:00,0.0,16.1,5.0,
2014-05-18T00:00:00,0.0,21.1,8.9,
2014-05-19T00:00:00,0.0,21.7,11.7,
2014-05-20T00:00:00,16.3,30.6,17.2,
2014-05-21T00:00:00,0.3,31.7,20.0,
2014-05-22T00:00:00,0.0,20.6,12.2,
2014-05-23T00:00:00,0.0,20.0,10.6,
2014-05-24T00:00:00,0.0,23.3,10.0,
2014-05-25T00:00:00,0.0,29.4,12.2,
2014-05-26T00:00:00,2.0,32.2,19.4,
2014-05-27T00:00:00,12.7,29.4,16.1,
2014-05-28T00:00:00,17.3,22.8,14.4,
2014-05-29T00:00:00,0.0,25.0,13.9,
2014-05-30T00:00:00,0.0,26.1,13.9,
2014-05-31T00:00:00,0.0,31.7,15.6,
2014-06-01T00:00:00,0.0,33.3,20.6,
2014-06-02T00:00:00,5.1,29.4,20.6,
2014-06-03T00:00:00,0.0,27.8,21.1,
2014-06-04T00:00:00,3.0,22.2,14.4,
2014-06-05T00:00:00,0.0,23.9,13.3,
2014-06-06T00:00:00,0.0,27.8,12.2,
2014-06-07T00:00:00,3.0,29.4,16.7,
2014-06-08T00:00:00,5.3,21.1,12.8,
2014-06-09T00:00:00,0.0,26.1,13.3,
2014-06-10T00:00:00,11.4,21.1,15.0,
2014-06-11T00:00:00,0.8,20.6,16.7,
2014-06-12T00:00:00,0.3,27.8,17.2,
2014-06-13T00:00:00,0.0,23.9,13.9,
2014-06-14T00:00:00,0.0,26.7,13.9,
2014-06-15T00:00:00,0.0,30.0,17.8,
2014-06-16T00:00:00,0.0,32.2,20.6,
2014-06-17T00:00:00,0.0,33.9,26.1,
2014-06-18T00:00:00,20.3,29.4,17.2,
2014-06-19T00:00:00,9.9,27.8,15.6,
2014-06-20T00:00:00,0.8,30.0,18.9,
2014-06-21T00:00:00,18.5,29.4,17.2,
2014-06-22T00:00:00,0.0,27.8,18.9,
2014-06-23T00:00:00,4.1,28.9,20.6,
2014-06-24T00:00:00,29.2,29.4,21.1,
2014-06-25T00:00:00,0.5,26.1,16.7,
2014-06-26T00:00:00,0.0,25.0,15.6,
2014-06-27T00:00:00,0.0,32.8,16.7,
2014-06-28T00:00:00,4.1,31.1,23.9,
2014-06-29T00:00:00,1.0,31.1,21.7,
2014-06-30T00:00:00,52.3,31.1,20.0,
2014-07-01T00:00:00,1.0,28.9,20.0,
2014-07-02T00:00:00,3.0,23.3,14.4,
2014-07-03T00:00:00,1.3,23.9,13.9,
2014-07-04T00:00:00,0.0,26.1,15.6,
2014-07-05T00:00:00,0.3,26.1,17.2,
2014-07-06T00:00:00,0.0,31.7,18.9,
2014-07-07T00:00:00,12.2,31.7,22.2,
2014-07-08T00:00:00,12.2,28.9,21.1,
2014-07-09T00:00:00,0.0,27.2,17.8,
2014-07-10T00:00:00,0.0,25.6,17.2,
2014-07-11T00:00:00,0.0,28.3,17.2,
2014-07-12T00:00:00,84.1,27.2,21.1,
2014-07-13T00:00:00,1.0,30.0,21.7,
2014-07-14T00:00:00,9.4,27.2,17.8,
2014-07-15T00:00:00,1.3,21.7,13.9,
