date,PRCP,TMAX,TMIN,SNOW
2014-01-01T00:00:00,2.0,27.8,22.8,
2014-01-02T00:00:00,0.0,28.9,21.7,
2014-01-03T00:00:00,0.0,22.8,16.1,
2014-01-04T00:00:00,0.5,24.4,16.1,
2014-01-05T00:00:00,0.3,27.8,21.1,
2014-01-06T00:00:00,1.3,29.4,14.4,
2014-01-07T00:00:00,1.3,14.4,9.4,
2014-01-08T00:00:00,2.0,22.2,10.0,
2014-01-09T00:00:00,6.4,26.1,21.7,
2014-01-10T00:00:00,0.0,27.2,22.2,
2014-01-11T00:00:00,0.0,28.3,22.2,
2014-01-12T00:00:00,0.0,27.2,18.9,
2014-01-13T00:00:00,0.0,27.2,18.3,
2014-01-14T00:00:00,0.0,28.9,21.1,
2014-01-15T00:00:00,7.6,22.2,15.6,
2014-01-16T00:00:00,0.0,16.1,10.0,
2014-01-17T00:00:00,0.0,18.9,7.8,
2014-01-18T00:00:00,0.0,20.6,11.1,
2014-01-19T00:00:00,0.0,20.6,7.8,
2014-01-20T00:00:00,0.0,24.4,12.2,
2014-01-21T00:00:00,4.6,22.8,16.1,
2014-01-22T00:00:00,0.0,18.9,11.1,
2014-01-23T00:00:00,0.0,22.2,8.3,
2014-01-24T00:00:00,0.0,22.8,14.4,
2014-01-25T00:00:00,0.0,24.4,11.7,
2014-01-26T00:00:00,0.0,25.6,13.3,
2014-01-27T00:00:00,0.0,27.8,16.7,
2014-01-28T00:00:00,0.0,27.2,17.2,
2014-01-29T00:00:00,14.2,26.1,18.3,
2014-01-30T00:00:00,6.4,21.1,16.1,
2014-01-31T00:00:00,2.0,27.8,20.0,
2014-02-01T00:00:00,0.0,27.8,21.7,
2014-02-02T00:00:00,0.3,27.2,21.7,
2014-02-03T00:00:00,0.0,28.3,23.3,
2014-02-04T00:00:00,0.0,27.8,22.8,
2014-02-05T00:00:00,0.0,28.9,23.9,
2014-02-06T00:00:00,0.0,28.9,22.2,
2014-02-07T00:00:00,0.0,28.3,20.0,
2014-02-08T00:00:00,0.0,28.9,20.6,
2014-02-09T00:00:00,0.0,26.7,20.0,
2014-02-10T00:00:00,0.0,27.8,18.9,
2014-02-11T00:00:00,0.0,28.9,20.6,
2014-02-12T00:00:00,19.1,27.8,18.9,
2014-02-13T00:00:00,4.6,24.4,14.4,
2014-02-14T00:00:00,0.0,21.7,10.6,
2014-02-15T00:00:00,0.0,26.1,13.3,
2014-02-16T00:00:00,0.0,25.0,11.1,
2014-02-17T00:00:00,0.0,25.6,15.0,
2014-02-18T00:00:00,0.0,26.7,16.7,
2014-02-19T00:00:00,0.0,26.7,19.4,
2014-02-20T00:00:00,0.0,28.3,21.1,
2014-02-21T00:00:00,0.0,28.9,23.3,
2014-02-22T00:00:00,0.0,29.4,22.2,
2014-02-23T00:00:00,0.0,28.9,21.1,
2014-02-24T00:00:00,0.0,30.0,21.1,
2014-02-25T00:00:00,0.0,30.0,21.1,
2014-02-26T00:00:00,0.0,30.0,22.2,
2014-02-27T00:00:00,5.3,26.7,18.3,
2014-02-28T00:00:00,0.3,24.4,17.2,
2014-03-01T00:00:00,0.0,27.2,15.6,
2014-03-02T00:00:00,0.0,26.7,17.8,
2014-03-03T00:00:00,0.0,27.8,18.3,
2014-03-04T00:00:00,0.0,27.8,18.3,
2014-03-05T00:00:00,0.0,28.9,22.2,
2014-03-06T00:00:00,11.4,30.0,19.4,
2014-03-07T00:00:00,0.8,26.7,16.1,
2014-03-08T00:00:00,0.0,24.4,13.9,
2014-03-09T00:00:00,0.0,26.7,16.7,
2014-03-10T00:00:00,0.0,27.2,18.3,
2014-03-11T00:00:00,0.0,27.2,18.3,
2014-03-12T00:00:00,0.0,30.6,22.2,
2014-03-13T00:00:00,0.3,26.7,16.7,
2014-03-14T00:00:00,0.0,24.4,15.6,
2014-03-15T00:00:00,0.0,26.7,17.8,
2014-03-16T00:00:00,0.0,27.2,21.7,
2014-03-17T00:00:00,0.0,31.1,23.3,
2014-03-18T00:00:00,4.1,26.7,20.6,
2014-03-19T00:00:00,0.0,27.8,18.9,
2014-03-20T00:00:00,0.0,30.0,18.9,
2014-03-21T00:00:00,0.0,27.8,17.8,
2014-03-22T00:00:00,1.0,31.1,21.7,
2014-03-23T00:00:00,0.0,32.2,21.7,
2014-03-24T00:00:00,3.8,27.8,20.0,
2014-03-25T00:00:00,37.8,29.4,17.8,
2014-03-26T00:00:00,0.0,22.2,13.9,
2014-03-27T00:00:00,0.0,26.1,16.7,
2014-03-28T00:00:00,0.0,27.8,21.7,
2014-03-29T00:00:00,7.1,28.9,20.6,
2014-03-30T00:00:00,0.0,26.7,18.3,
2014-03-31T00:00:00,0.0,26.7,16.1,
2014-04-01T00:00:00,0.0,26.7,17.2,
2014-04-02T00:00:00,0.0,26.7,18.3,
2014-04-03T00:00:00,0.0,27.2,21.1,
2014-04-04T00:00:00,0.0,28.3,22.2,
2014-04-05T00:00:00,0.0,28.9,20.6,
2014-04-06T00:00:00,0.0,28.9,20.6,
2014-04-07T00:00:00,0.0,29.4,23.9,
2014-04-08T00:00:00,5.6,32.2,20.0,
2014-04-09T00:00:00,0.0,26.1,19.4,
2014-04-10T00:00:00,0.0,26.7,17.8,
2014-04-11T00:00:00,0.0,26.7,21.1,
2014-04-12T00:00:00,0.0,28.3,21.1,
2014-04-13T00:00:00,0.0,28.9,22.8,
2014-04-14T00:00:00,0.0,30.0,23.3,
2014-04-15T00:00:00,0.5,31.1,24.4,
2014-04-16T00:00:00,0.0,28.3,22.2,
2014-04-17T00:00:00,3.8,27.8,24.4,
2014-04-18T00:00:00,2.0,28.9,23.3,
2014-04-19T00:00:00,18.0,31.7,20.0,
2014-04-20T00:00:00,0.0,26.7,18.3,
2014-04-21T00:00:00,0.0,27.8,17.8,
2014-04-22T00:00:00,0.0,29.4,18.9,
2014-04-23T00:00:00,0.0,30.0,18.9,
2014-04-24T00:00:00,0.0,30.6,20.0,
2014-04-25T00:00:00,0.0,31.7,22.2,
2014-04-26T00:00:00,0.0,31.7,21.1,
2014-04-27T00:00:00,0.0,31.1,23.3,
2014-04-28T00:00:00,0.0,31.1,25.6,
2014-04-29T00:00:00,0.0,31.1,25.0,
2014-04-30T00:00:00,0.0,31.1,26.1,
2014-05-01T00:00:00,0.0,31.1,25.6,
2014-05-02T00:00:00,0.0,31.7,25.0,
2014-05-03T00:00:00,7.4,32.2,23.3,
2014-05-04T00:00:00,0.0,30.0,20.0,
2014-05-05T00:00:00,0.0,30.0,21.1,
2014-05-06T00:00:00,0.0,30.0,20.6,
2014-05-07T00:00:00,0.0,30.6,24.4,
2014-05-08T00:00:00,0.0,30.6,25.6,
2014-05-09T00:00:00,0.0,30.6,25.0,
2014-05-10T00:00:00,0.0,30.6,25.0,
2014-05-11T00:00:00,0.0,30.6,25.6,
2014-05-12T00:00:00,0.0,31.1,25.0,
2014-05-13T00:00:00,1.3,31.1,24.4,
2014-05-14T00:00:00,6.6,30.6,24.4,
2014-05-15T00:00:00,66.8,28.3,22.8,
2014-05-16T00:00:00,0.0,26.1,21.1,
2014-05-17T00:00:00,0.0,29.4,20.0,
2014-05-18T00:00:00,0.0,28.9,22.8,
2014-05-19T00:00:00,0.0,29.4,23.3,
2014-05-20T00:00:00,0.0,29.4,23.3,
2014-05-21T00:00:00,0.0,28.9,23.3,
2014-05-22T00:00:00,0.0,30.6,22.2,
2014-05-23T00:00:00,0.0,33.3,21.7,
2014-05-24T00:00:00,0.0,32.8,23.3,
2014-05-25T00:00:00,0.0,31.7,23.9,
2014-05-26T00:00:00,0.0,31.7,23.9,
2014-05-27T00:00:00,0.0,31.1,25.6,
2014-05-28T00:00:00,0.0,31.1,25.6,
2014-05-29T00:00:00,0.3,28.9,25.0,
2014-05-30T00:00:00,1.3,31.1,23.3,
2014-05-31T00:00:00,0.0,31.1,25.0,
2014-06-01T00:00:00,5.1,31.1,23.9,
2014-06-02T00:00:00,15.5,27.8,23.3,
2014-06-03T00:00:00,0.0,27.8,24.4,
2014-06-04T00:00:00,1.5,27.2,22.8,
2014-06-05T00:00:00,0.0,30.6,22.2,
2014-06-06T00:00:00,0.0,32.8,22.8,
2014-06-07T00:00:00,0.3,33.3,25.0,
2014-06-08T00:00:00,55.9,33.3,22.8,
2014-06-09T00:00:00,14.7,32.2,22.2,
2014-06-10T00:00:00,48.0,30.0,22.8,
2014-06-11T00:00:00,0.0,31.7,24.4,
2014-06-12T00:00:00,9.9,33.3,22.2,
2014-06-13T00:00:00,9.1,31.7,21.1,
2014-06-14T00:00:00,0.0,31.7,22.8,
2014-06-15T00:00:00,4.6,31.7,23.3,
