date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,10.4,3.1,17.6,12.0,0.0,,8.3,,1022.5,
2014-02-01,12.7,6.3,19.2,10.0,0.0,,9.4,,1018.1,
2014-03-01,14.9,8.4,21.4,32.0,0.0,,9.8,,1017.2,
2014-04-01,20.7,14.8,26.6,48.0,0.0,,10.0,,1013.6,
2014-05-01,23.7,17.6,29.7,180.0,0.0,,10.0,,1014.4,
2014-06-01,27.8,22.8,32.8,78.0,0.0,,10.5,,1012.3,
2014-07-01,29.1,23.1,35.1,142.0,0.0,,7.0,,1015.5,
2014-08-01,30.6,24.0,37.2,3.0,0.0,,8.2,,1013.6,
2014-09-01,27.0,21.5,32.5,177.0,0.0,,5.9,,1015.1,
2014-10-01,23.6,17.8,29.4,47.0,0.0,,6.7,,1015.3,
2014-11-01,13.2,7.4,18.9,147.0,0.0,,7.9,,1021.5,
2014-12-01,12.8,8.5,17.1,27.0,0.0,,7.4,,1021.0,
2015-01-01,8.8,3.9,14.6,127.6,0.0,,7.5,,,
2015-02-01,10.3,5.0,16.5,12.8,0.0,,8.5,,,
2015-03-01,,10.3,21.1,122.7,0.0,,7.8,,,
2015-04-01,21.3,16.5,27.0,58.7,0.0,,9.0,,,
2015-05-01,,19.4,28.6,446.7,0.0,,9.2,,,
2015-06-01,26.7,22.1,32.3,225.8,0.0,,6.5,,,
2015-07-01,,24.1,35.4,0.0,0.0,,9.6,,,
2015-08-01,,24.2,37.4,8.9,0.0,,7.0,,,
2015-09-01,27.7,22.1,35.1,48.1,0.0,,6.3,,,
2015-10-01,23.4,17.2,30.1,301.0,0.0,,7.1,,,
2015-11-01,,11.5,21.3,95.0,0.0,,6.9,,,
2015-12-01,,7.6,20.2,76.2,0.0,,6.5,,,
2016-01-01,,4.9,17.2,8.7,0.0,,6.6,,,
2016-02-01,15.1,8.8,22.0,34.1,0.0,,9.0,,,
2016-03-01,,13.1,24.7,89.3,0.0,,9.8,,,
2016-04-01,,15.3,27.0,180.8,0.0,,8.3,,,
