date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,19.9,15.6,24.3,49.0,,,10.7,,1019.4,
2014-02-01,23.4,19.4,27.5,30.0,,,10.8,,1017.6,
2014-03-01,23.2,18.6,27.7,66.0,,,13.7,,1016.9,
2014-04-01,25.3,21.4,29.2,30.0,,,14.6,,1016.5,
2014-05-01,27.0,23.6,30.5,84.0,,,16.8,,1017.9,
2014-06-01,27.5,23.4,31.6,499.0,,,10.1,,1017.2,
2014-07-01,28.8,25.1,32.6,262.0,,,8.0,,1017.7,
2014-08-01,29.4,25.8,33.0,230.0,,,9.0,,1016.0,
2014-09-01,28.1,24.6,31.5,184.0,,,9.6,,1015.8,
2014-10-01,26.6,22.8,30.3,83.0,,,10.7,,1015.0,
2014-11-01,22.6,18.5,26.6,68.0,,,13.5,,1018.2,
2014-12-01,21.8,17.8,25.8,34.0,,,9.8,,1019.4,
2015-01-01,21.4,17.7,25.4,24.3,,,12.2,,,
2015-02-01,20.1,15.6,24.9,71.3,,,13.7,,,
2015-03-01,24.5,21.0,28.8,33.6,,,14.2,,,
2015-04-01,26.4,23.4,30.3,102.3,,,13.6,,,
2015-05-01,26.9,23.6,30.8,60.9,,,15.9,,,
2015-06-01,28.3,25.4,32.0,91.5,,,12.3,,,
2015-07-01,28.9,25.4,33.0,150.2,,,10.9,,,
2015-08-01,29.0,25.5,33.0,229.2,,,9.1,,,
2015-09-01,28.0,24.9,32.2,253.1,,,8.1,,,
2015-10-01,26.6,23.6,30.3,119.6,,,12.1,,,
2015-11-01,25.5,22.7,28.8,191.9,,,14.1,,,
2015-12-01,24.8,22.6,27.7,249.6,,,14.3,,,
2016-01-01,19.7,15.8,23.5,192.3,,,12.3,,,
2016-02-01,20.1,16.4,24.1,72.5,,,13.7,,,
2016-03-01,24.1,20.9,28.6,15.7,,,14.6,,,
2016-04-01,24.7,21.2,28.8,27.8,,,14.7,,1016.7,
2016-05-01,26.3,23.0,30.3,210.0,,,12.4,,,
2016-06-01,28.1,24.9,32.3,221.7,,,11.3,,,
2016-07-01,29.2,25.7,32.9,104.6,,,12.2,,,
2016-08-01,28.7,25.1,32.5,349.7,,,12.3,,,
2016-09-01,28.1,24.8,32.3,154.0,,,8.8,,,
2016-10-01,26.9,23.9,30.3,244.6,,,15.2,,,
2016-11-01,23.4,20.0,27.3,23.9,,,11.8,,,
2016-12-01,24.5,21.5,28.1,59.2,,,13.3,,,
2017-01-01,22.4,18.1,27.0,86.5,,,13.4,,,
2017-02-01,22.4,18.3,27.4,33.3,,,11.4,,,
2017-03-01,22.6,19.0,27.0,99.7,,,14.7,,,
2017-04-01,25.2,22.1,28.9,54.8,,,18.2,,,
