date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,-1.8,-5.5,2.0,60.0,80.0,,18.6,,1016.9,
2014-02-01,-0.3,-3.6,3.0,125.0,330.0,,17.6,,1017.4,
2014-03-01,2.9,-1.2,7.0,93.0,0.0,,19.4,,1016.3,
2014-04-01,10.6,5.9,15.2,209.0,0.0,,18.3,,1017.3,
2014-05-01,17.5,13.0,21.9,120.0,0.0,,15.2,,1015.8,
2014-06-01,22.5,18.3,26.6,94.0,0.0,,14.7,,1015.5,
2014-07-01,25.0,20.9,29.0,101.0,0.0,,15.2,,1014.5,
2014-08-01,24.0,20.1,27.8,89.0,0.0,,13.5,,1016.3,
2014-09-01,21.3,17.5,25.2,31.0,0.0,,14.1,,1019.0,
2014-10-01,15.7,12.5,19.0,99.0,0.0,,17.7,,1013.4,
2014-11-01,7.5,4.1,10.9,100.0,0.0,,18.0,,1016.9,
2014-12-01,4.8,2.2,7.3,158.0,30.0,,18.9,,1019.8,
2015-01-01,-1.2,-4.6,2.2,126.5,80.0,,20.4,,,
2015-02-01,-4.2,-8.6,0.0,53.4,80.0,,19.4,,,
2015-03-01,3.1,-0.8,7.3,115.5,80.0,,17.3,,,
2015-04-01,11.4,7.3,16.4,46.1,0.0,,18.3,,,
2015-05-01,18.8,14.2,24.7,41.0,0.0,,15.1,,,
2015-06-01,21.5,17.9,25.8,122.0,0.0,,16.4,,,
2015-07-01,25.9,22.5,29.9,90.0,0.0,,13.3,,,
2015-08-01,26.0,22.4,30.2,47.7,0.0,,14.0,,,
2015-09-01,23.2,19.3,27.4,63.8,0.0,,14.5,,,
2015-10-01,14.5,10.8,18.5,86.2,0.0,,18.0,,,
2015-11-01,11.9,8.4,15.4,43.3,0.0,,15.4,,,
2015-12-01,10.2,7.4,13.5,110.2,0.0,,14.1,,,
2016-01-01,2.0,-1.4,5.5,106.2,80.0,,19.6,,,
2016-02-01,3.5,-0.4,7.6,110.8,30.0,,20.5,,,
2016-03-01,9.1,4.9,14.0,32.1,30.0,,18.2,,,
2016-04-01,11.4,7.4,16.2,42.3,0.0,,16.7,,,
2016-05-01,17.2,13.3,21.8,99.7,0.0,,14.8,,,
2016-06-01,22.8,18.5,27.7,56.9,0.0,,16.2,,,
2016-07-01,26.8,23.1,31.4,126.6,0.0,,14.8,,,
2016-08-01,27.1,23.7,31.4,28.7,0.0,,15.3,,,
2016-09-01,23.1,19.6,26.8,64.3,0.0,,16.6,,,
2016-10-01,16.0,12.5,20.0,122.5,0.0,,16.5,,,
2016-11-01,11.2,7.8,14.9,136.4,0.0,,18.1,,,
2016-12-01,4.7,1.7,7.6,75.1,50.0,,19.3,,,
2017-01-01,4.2,1.7,6.9,104.9,80.0,,19.4,,,
2017-02-01,5.7,2.0,10.0,47.5,50.0,,20.0,,,
2017-03-01,4.8,1.1,8.9,119.0,80.0,,22.7,,,
2017-04-01,13.9,9.9,18.5,104.1,0.0,,17.5,,,
2017-05-01,17.1,13.4,21.3,152.4,0.0,,18.2,,,
2017-06-01,23.0,18.9,27.3,111.3,0.0,,16.0,,,
2017-07-01,25.4,21.7,29.6,109.8,0.0,,14.3,,,
2017-08-01,24.0,20.5,27.7,89.6,0.0,,14.2,,,
2017-09-01,21.7,18.2,25.6,46.7,0.0,,15.3,,,
2017-10-01,18.4,14.8,22.4,96.1,0.0,,16.3,,,
2017-11-01,8.9,5.0,12.8,52.2,0.0,,17.5,,,
2017-12-01,2.4,-0.3,5.1,52.1,30.0,,19.3,,,
2018-01-01,-0.3,-4.1,3.5,53.9,80.0,,20.2,,,
2018-02-01,5.2,1.6,10.0,151.1,80.0,,16.2,,,
2018-03-01,4.7,1.7,8.1,103.8,30.0,,22.3,,,
2018-04-01,9.4,5.7,13.6,127.6,30.0,,20.0,,,
2018-05-01,19.1,14.7,24.6,82.4,0.0,,14.1,,,
2018-06-01,22.5,18.4,27.1,91.7,0.0,,14.9,,,
2018-07-01,26.3,22.6,30.6,134.1,0.0,,15.5,,,
2018-08-01,27.0,23.5,30.9,169.0,0.0,239.3,14.7,,1015.9,
2018-09-01,22.4,19.6,25.7,149.7,0.0,70.3,15.3,,1021.1,
2018-10-01,15.3,12.2,18.7,76.8,0.0,253.1,17.8,,1016.9,
2018-11-01,7.7,4.7,10.4,180.1,30.0,312.3,20.1,,1017.4,
2018-12-01,4.7,1.9,7.6,175.3,0.0,325.3,18.5,,1019.0,
2019-01-01,0.7,-2.9,4.2,100.0,0.0,314.6,20.9,,1017.8,
2019-02-01,2.1,-1.4,5.7,85.0,30.0,328.1,19.1,,1020.6,
2019-03-01,5.1,1.4,8.9,93.0,80.0,,19.6,,1019.6,
2019-04-01,12.3,8.2,16.5,112.0,0.0,66.8,18.5,,1015.7,
2019-05-01,16.7,12.6,20.7,162.0,0.0,50.1,16.4,,1014.6,
2019-06-01,22.7,18.4,26.9,124.0,0.0,352.7,15.6,,1012.9,
2019-07-01,27.5,23.1,31.9,155.0,0.0,257.1,13.2,,1014.0,
2019-08-01,25.3,21.5,29.2,80.0,0.0,64.5,14.0,,1014.6,
2019-09-01,22.3,18.3,26.2,16.0,0.0,9.6,15.1,,1018.9,
2019-10-01,16.0,12.5,19.5,142.0,0.0,22.3,18.1,,1017.8,
2019-11-01,7.0,3.5,10.5,41.0,0.0,286.8,18.8,,1017.8,
2019-12-01,3.8,1.0,6.7,182.0,30.0,328.8,19.0,,1017.6,
2020-01-01,3.9,0.7,7.0,41.0,30.0,303.7,18.6,,1019.5,
2020-02-01,4.4,0.9,7.9,69.0,0.0,313.3,17.7,,1016.3,
2020-03-01,9.0,5.2,12.7,100.0,0.0,,18.9,,1019.8,
2020-04-01,10.3,6.6,14.0,114.0,0.0,330.9,20.7,,1011.4,
2020-05-01,16.0,11.3,20.6,31.0,0.0,0.4,18.3,,1016.8,
2020-06-01,24.4,19.9,28.9,28.0,0.0,250.7,14.0,,1015.0,
2020-07-01,28.3,24.0,32.5,120.0,0.0,165.3,14.2,,1013.5,
2020-08-01,26.5,22.9,30.1,124.0,0.0,213.1,14.9,,1013.8,
2020-09-01,21.7,18.2,25.2,105.0,0.0,128.2,14.9,,1018.7,
2020-10-01,15.5,12.3,18.7,131.0,0.0,359.6,15.0,,1018.9,
2020-11-01,12.4,8.5,16.3,112.0,0.0,264.1,16.9,,1020.9,
2020-12-01,5.0,1.8,8.1,90.0,50.0,271.7,19.5,,1016.5,
2021-01-01,2.6,0.0,5.2,56.0,0.0,334.6,19.6,,1015.7,
2021-02-01,1.7,-1.0,4.4,105.0,80.0,335.3,18.6,,1018.3,
2021-03-01,7.4,3.1,11.8,79.0,0.0,,19.7,,1020.4,
2021-04-01,12.6,7.9,17.3,70.0,0.0,303.8,17.7,,1012.2,
2021-05-01,17.5,13.0,21.9,100.0,0.0,316.3,17.0,,1017.8,
2021-06-01,24.2,19.6,28.9,62.0,0.0,214.3,14.7,,1015.7,
2021-07-01,25.4,21.5,29.3,215.0,0.0,28.3,14.2,,1014.4,
2021-08-01,26.3,22.8,29.7,176.0,0.0,146.2,13.6,,1016.7,
2021-09-01,22.6,19.1,26.2,222.0,0.0,310.4,16.5,,1015.4,
2021-10-01,18.1,14.9,21.4,102.0,0.0,18.3,16.1,,1014.6,
2021-11-01,9.3,5.9,12.8,21.0,0.0,291.5,16.3,,1018.5,
2021-12-01,7.2,4.4,10.0,36.8,30.0,323.5,16.7,,1017.1,
2022-01-01,0.0,-3.9,3.6,95.5,80.0,317.3,19.1,,1018.1,
2022-02-01,2.9,-1.4,7.5,80.7,50.0,295.0,18.7,,1022.3,
2022-03-01,7.1,2.6,11.7,66.4,0.0,267.5,19.9,,1015.8,
2022-04-01,11.0,7.4,15.2,106.7,0.0,306.8,20.1,,1015.7,
2022-05-01,17.4,13.4,22.3,118.1,0.0,85.1,16.1,,1017.1,
2022-06-01,22.1,18.1,26.7,85.5,0.0,248.3,15.1,,1014.3,
2022-07-01,26.9,23.0,31.6,68.3,0.0,217.8,14.8,,1013.7,
2022-08-01,26.5,23.2,31.0,52.6,230.0,203.9,14.2,,1015.4,
2022-09-01,21.4,17.7,25.5,129.1,0.0,283.3,15.9,,1015.9,
2022-10-01,14.7,11.2,18.3,128.2,0.0,331.0,15.7,,1017.8,
2022-11-01,10.8,7.4,14.4,81.0,0.0,275.7,17.9,,1020.4,
2022-12-01,3.8,0.5,7.0,111.7,0.0,289.3,19.2,,1020.7,
